CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,Website,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,Latitude,Longitude,AdmFName1,AdmLName1,AdmEmail1,AdmFName2,AdmLName2,AdmEmail2,AdmFName3,AdmLName3,AdmEmail3,LastUpdate
01613090114421,0634710,11893,Active,Alameda,San Lorenzo Unified,KIPP King Collegiate High,2005 Via Barrett #B,2005 Via Barrett #B,San Lorenzo,94580-1315,CA,2005 Via Barrett #B,2005 Via Barrett #B,San Lorenzo,94580-1315,CA,(510) 317-2330,,www.kippbayarea.org,2007-09-05,,1,0880,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,37.674474,-122.15037,Kelly,Lara,kelly.lara@kippking.org,,,,,,,2016-08-22
01750930114579,0600019,12078,Active,Alameda,Dublin Unified,John Green Elementary,3300 Antone Way,3300 Antone Way,Dublin,94568-7550,CA,3300 Antone Way,3300 Antone Way,Dublin,94568-7550,CA,(925) 833-4200,6605,www.dublinusd.org,2007-08-27,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.7181,-121.8615,Lorianne,Ventura,venturalorianne@dublinusd.org,,,,,,,2016-08-31
01750930123935,0600019,12927,Active,Alameda,Dublin Unified,Harold William Kolb,3150 Palermo Way,3150 Palermo Way,Dublin,94568-7326,CA,3150 Palermo Way,3150 Palermo Way,Dublin,94568-7326,CA,(925) 833-4720,6805,www.dublinusd.org,2011-08-22,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.71193,-121.8587,Joyce,Gibson,gibsonjoyce@dublinusd.org,,,,,,,2015-12-17
01750930132704,0600019,09273,Active,Alameda,Dublin Unified,Dublin High,8151 Village Parkway,8151 Village Pkwy.,Dublin,94568-1656,CA,8151 Village Parkway,8151 Village Pkwy.,Dublin,94568-1656,CA,(925) 833-3300,7005,www.dublinusd.org,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,37.720996,-121.92639,Maureen,Byrne,byrnemaureen@dublinusd.org,,,,,,,2016-08-31
01750930138453,0600019,09274,Active,Alameda,Dublin Unified,Valley High (Continuation),6901 York Drive,6901 York Dr.,Dublin,94568-2100,CA,6901 York Drive,6901 York Dr.,Dublin,94568-2100,CA,(925) 829-4322,7905,www.dublinusd.org,1980-07-01,,0,,,54,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,9-12,10-12,N,0,37.709169,-121.92118,Megan,Pettis,pettismegan@dublinusd.org,,,,,,,2016-09-06
01750936001374,0600019,06929,Active,Alameda,Dublin Unified,Dublin Elementary,7997 Vomac Road,7997 Vomac Rd.,Dublin,94568-1599,CA,7997 Vomac Road,7997 Vomac Rd.,Dublin,94568-1599,CA,(925) 833-1204,5005,www.dublinusd.org,1997-08-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.715023,-121.9365,Lauren,McGovern,mcgovernlauren@dublinusd.org,,,,,,,2016-07-01
01750936001390,0600019,09275,Active,Alameda,Dublin Unified,Frederiksen Elementary,7243 Tamarack Drive,7243 Tamarack Dr.,Dublin,94568-1746,CA,7243 Tamarack Drive,7243 Tamarack Dr.,Dublin,94568-1746,CA,(925) 828-1037,5205,www.dublinusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.715077,-121.92195,Claire,Mognaga,mognagaclaire@dublinusd.org,,,,,,,2015-12-17
01750936001424,0600019,09276,Active,Alameda,Dublin Unified,Murray Elementary,8435 Davona Drive,8435 Davona Dr.,Dublin,94568-1107,CA,8435 Davona Drive,8435 Davona Dr.,Dublin,94568-1107,CA,(925) 828-2568,5405,www.dublinusd.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.72154,-121.93298,Carrie,Nerheim,nerheimcarrie@dublinusd.org,,,,,,,2015-12-17
01750936066484,0600019,09278,Active,Alameda,Dublin Unified,Wells Middle,6800 Penn Drive,6800 Penn Dr.,Dublin,94568-2118,CA,6800 Penn Drive,6800 Penn Dr.,Dublin,94568-2118,CA,(925) 828-6227,6005,www.dublinusd.org,1980-07-01,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,37.712563,-121.9188,Ean,Ainsworth,ainsworthean@dublinusd.org,,,,,,,2015-12-17
01750936118038,0600019,08443,Active,Alameda,Dublin Unified,James Dougherty Elementary,5301 Hibernia Drive,5301 Hibernia Dr.,Dublin,94568-3164,CA,5301 Hibernia Drive,5301 Hibernia Dr.,Dublin,94568-3164,CA,(925) 803-4444,5805,www.dublinusd.org,2000-09-05,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.71039,-121.88512,Brett,Nelson,nelsonbrett@dublinusd.org,,,,,,,2015-06-18
01751010130096,0600020,09279,Active,Alameda,Pleasanton Unified,Foothill High,4375 Foothill Road,4375 Foothill Rd.,Pleasanton,94588-9799,CA,4375 Foothill Road,4375 Foothill Rd.,Pleasanton,94588-9799,CA,(925) 461-6600,,www.pleasanton.k12.ca.us/foothill,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,0,37.671579,-121.91994,Jason,Krolikowski,jkrolikowski@pleasantonusd.net,,,,,,,2015-06-18
01751010130252,0600020,09280,Active,Alameda,Pleasanton Unified,Village High,4645 Bernal Avenue,4645 Bernal Ave.,Pleasanton,94566-7449,CA,4645 Bernal Avenue,4645 Bernal Ave.,Pleasanton,94566-7449,CA,(925) 426-4260,,www.pleasanton.k12.ca.us/village,1980-07-01,,0,,,54,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,9-12,10-12,P,0,37.65519,-121.87514,Dana,Chavez,dchavez@pleasantonusd.net,,,,,,,2015-06-18
01751010130583,0600020,09282,Active,Alameda,Pleasanton Unified,Amador Valley High,1155 Santa Rita Road,1155 Santa Rita Rd.,Pleasanton,94566-6176,CA,1155 Santa Rita Road,1155 Santa Rita Rd.,Pleasanton,94566-6176,CA,(925) 461-6100,,www.pleasanton.k12.ca.us/amador,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,0,37.668296,-121.87327,Michael,Williams,mawilliams@pleasantonusd.net,,,,,,,2016-07-20
01751016001366,0600020,09283,Active,Alameda,Pleasanton Unified,Donlon Elementary,4150 Dorman Road,4150 Dorman Rd.,Pleasanton,94588-4411,CA,4150 Dorman Road,4150 Dorman Rd.,Pleasanton,94588-4411,CA,(925) 426-4220,,www.pleasanton.k12.ca.us/donlon,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.684111,-121.90908,Sebastian,Bull,sbull@pleasantonusd.net,,,,,,,2015-08-07
01751016001416,0600020,09284,Active,Alameda,Pleasanton Unified,Lydiksen Elementary,7700 Highland Oaks Drive,7700 Highland Oaks Dr.,Pleasanton,94588-4225,CA,7700 Highland Oaks Drive,7700 Highland Oaks Dr.,Pleasanton,94588-4225,CA,(925) 426-4420,,www.pleasanton.k12.ca.us/lydiksen,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.680987,-121.9216,Jacob,Berg,jberg@pleasantonusd.net,,,,,,,2016-07-01
01751016002315,0600020,09285,Active,Alameda,Pleasanton Unified,Alisal Elementary,1454 Santa Rita Road,1454 Santa Rita Rd.,Pleasanton,94566-5697,CA,1454 Santa Rita Road,1454 Santa Rita Rd.,Pleasanton,94566-5697,CA,(925) 426-4200,,www.pleasanton.k12.ca.us/alisal,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.672366,-121.87207,Karen,Johnson,kcjohnson@pleasantonusd.net,,,,,,,2016-07-20
01751016002323,0600020,09286,Active,Alameda,Pleasanton Unified,Fairlands Elementary,4151 West Las Positas Boulevard,4151 West Las Positas Blvd.,Pleasanton,94588-4199,CA,4151 West Las Positas Boulevard,4151 West Las Positas Blvd.,Pleasanton,94588-4199,CA,(925) 426-4210,,www.pleasanton.k12.ca.us/fairlands,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.692602,-121.87433,Shay,Galletti,sgalletti@pleasantonusd.net,,,,,,,2015-08-07
01751016002349,0600020,09287,Active,Alameda,Pleasanton Unified,Valley View Elementary,480 Adams Way,480 Adams Way,Pleasanton,94566-7198,CA,480 Adams Way,480 Adams Way,Pleasanton,94566-7198,CA,(925) 426-4230,,www.pleasanton.k12.ca.us/valley_view,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.659868,-121.86362,Rafael,Cruz,rcruz@pleasantonusd.net,,,,,,,2016-07-01
01751016002356,0600020,09288,Active,Alameda,Pleasanton Unified,Walnut Grove Elementary,1999 Harvest Road,1999 Harvest Rd.,Pleasanton,94566-5499,CA,1999 Harvest Road,1999 Harvest Rd.,Pleasanton,94566-5499,CA,(925) 426-4250,,www.pleasanton.k12.ca.us/walnut_grove,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.673219,-121.88537,Christopher,Connor,cconnor@pleasantonusd.net,,,,,,,2016-01-13
01751016066500,0600020,09289,Active,Alameda,Pleasanton Unified,Harvest Park Middle,4900 Valley Avenue,4900 Valley Ave.,Pleasanton,94566-5399,CA,4900 Valley Avenue,4900 Valley Ave.,Pleasanton,94566-5399,CA,(925) 426-4444,,www.pleasanton.k12.ca.us/harvest_park,1980-07-01,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,37.675555,-121.88268,Robin,Munsell,rmunsell@pleasantonusd.net,,,,,,,2016-10-05
01751016089361,0600020,09290,Active,Alameda,Pleasanton Unified,Vintage Hills Elementary,1125 Concord Street,1125 Concord St.,Pleasanton,94566-7236,CA,1125 Concord Street,1125 Concord St.,Pleasanton,94566-7236,CA,(925) 426-4240,,www.pleasanton.k12.ca.us/vintage_hills,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.655902,-121.85501,Ann,Jayne,ajane@pleasantonusd.net,,,,,,,2015-08-07
01751016108971,0600020,09682,Active,Alameda,Pleasanton Unified,Pleasanton Middle,5001 Case Avenue,5001 Case Ave.,Pleasanton,94566-1171,CA,5001 Case Avenue,5001 Case Ave.,Pleasanton,94566-1171,CA,(925) 426-4390,,www.pleasanton.k12.ca.us/pleasanton,1990-09-04,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,37.65696,-121.88156,Jill,Butler,jbutler@pleasantonusd.net,,,,,,,2016-01-13
01751016114318,0600020,06951,Active,Alameda,Pleasanton Unified,Henry P. Mohr Elementary,3300 Dennis Drive,3300 Dennis Dr.,Pleasanton,94588-8377,CA,3300 Dennis Drive,3300 Dennis Dr.,Pleasanton,94588-8377,CA,(925) 426-4256,,www.pleasanton.k12.ca.us/mohr,1997-08-28,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.692501,-121.86011,Julie,Berglin,jberglin@pleasantonusd.net,,,,,,,2015-06-18
01751016117592,0600020,08444,Active,Alameda,Pleasanton Unified,Thomas S. Hart Middle,4433 Willow Road,4433 Willow Rd.,Pleasanton,94588-8520,CA,4433 Willow Road,4433 Willow Rd.,Pleasanton,94588-8520,CA,(925) 426-3102,,www.pleasanton.k12.ca.us/hart,2000-08-29,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,37.685426,-121.89828,Leslie,Heller,lheller@pleasantonusd.net,,,,,,,2016-07-20
01751016117600,0600020,08445,Active,Alameda,Pleasanton Unified,Phoebe Apperson Hearst Elementary,5301 Case Avenue,5301 Case Ave.,Pleasanton,94566-8005,CA,5301 Case Avenue,5301 Case Ave.,Pleasanton,94566-8005,CA,(925) 426-3772,,www.pleasanton.k12.ca.us/hearst,2000-08-29,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,37.65245,-121.88432,Elias,Rodriguez,emuniz@pleasantonusd.net,,,,,,,2015-06-18
02100250230011,0691058,06965,Active,Alpine,Alpine County Office of Education,Alpine County Opportunity,43 Hawkside Drive,43 Hawkside Dr.,Markleeville,96120-9522,CA,43 Hawkside Drive,43 Hawkside Dr.,Markleeville,96120-9522,CA,(530) 694-2230,,www.alpinecoe.k12.ca.us,1990-07-01,,0,,,00,County Office of Education (COE),13,Opportunity Schools,OPP,Opportunity School,HS,High School,1-12,10-12,P,0,38.766195,-119.80692,Scott,Smith,ssmith@alpinecoe.k12.ca.us,,,,,,,2016-09-27
03100330129692,0691001,13745,Active,Amador,Amador County Office of Education,Shenandoah Valley,10010 Shenandoah Road,10010 Shenandoah Rd.,Plymouth,95669,CA,217 Rex Avenue,217 Rex Ave.,Jackson,95642,CA,(209) 245-4284,,www.acoecurriculum.net/shenandoah-valley-schoola-dependent-charter-school.html,2014-08-11,,1,1662,Locally funded,00,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,7-8,N,0,38.483322,-120.83492,Tia,Peters,tpeters@amadorcoe.k12.ca.us,,,,,,,2016-09-27
03100330330035,0691001,09474,Active,Amador,Amador County Office of Education,County Community,525 Independence Drive,525 Independence Dr.,Sutter Creek,95685-9669,CA,217 Rex Avenue,217 Rex Ave.,Jackson,95642-2020,CA,(209) 257-5100,,www.amadorcoe.org,1980-07-01,,0,,,00,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,1-12,7-11,N,0,38.377473,-120.80822,Frank (Butch),Wagner,bwagner@amadorcoe.k12.ca.us,,,,,,,2016-07-01
03739816002810,0602450,08788,Active,Amador,Amador County Unified,Ione Elementary,415 South Ione Street,415 South Ione St.,Ione,95640-2020,CA,415 South Ione Street,415 South Ione St.,Ione,95640-2020,CA,(209) 257-7000,,www.ioneelementary.com/,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-5,N,0,38.350283,-120.93162,Jeni,DeWalt,jdewalt@amadorcoe.k12.ca.us,,,,,,,2015-06-18
04100410114991,0691002,11953,Active,Butte,Butte County Office of Education,CORE Butte Charter,"260 Cohasset Road, Suite 120","260 Cohasset Rd., Ste. 120",Chico,95926-2282,CA,"260 Cohasset Road, Suite 120","260 Cohasset Rd., Ste. 120",Chico,95926-2282,CA,(530) 894-3952,,www.corebutte.org,2007-08-27,,1,0945,Directly funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,P,0,39.751791,-121.852,Mary,Cox,mcox@corebutte.org,,,,,,,2016-06-13
04100410128256,0691002,13670,Closed,Butte,Butte County Office of Education,Central Middle - RISE,2565 Mesa Avenue,2565 Mesa Ave.,Oroville,95965,CA,1859 Bird Street,1859 Bird St.,Oroville,95965,CA,,,www.bcoe.org,2013-07-01,2015-06-30,0,,,00,County Office of Education (COE),10,County Community,COMM,County Community School,ELEM,Elementary,7-8,7,N,0,,,,,,,,,,,,2015-08-21
04100410128264,0691002,13700,Active,Butte,Butte County Office of Education,RISE,1859 Bird Street,1859 Bird St.,Oroville,95965-4854,CA,1859 Bird Street,1859 Bird St.,Oroville,95965,CA,(530) 532-5642,,www.bcoe.org,2013-07-01,,0,,,00,County Office of Education (COE),10,County Community,COMM,County Community School,ELEM,Elementary,7-8,7,N,0,39.512655,-121.55657,Cheri,Gamette,cgamette@bcoe.org,,,,,,,2015-09-04
04100410129817,0691002,13783,Active,Butte,Butte County Office of Education,Butte County Community School - LEAD,2345 Fair Street,2345 Fair St.,Chico,95928-6749,CA,1859 Bird Street,1859 Bird St.,Oroville,95965,CA,(530) 532-5642,,www.bcoe.org,2014-07-01,,0,,,00,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,7-12,N,0,39.716629,-121.8153,Cheri,Gamette,cgamette@bcoe.org,,,,,,,2015-06-18
04100410430066,0691002,09213,Active,Butte,Butte County Office of Education,Table Mountain,41 County Center Drive,41 County Center Dr.,Oroville,95965-4937,CA,41 County Center Drive,41 County Center Dr.,Oroville,95965-4937,CA,(530) 532-5688,,www.bcoe.org,1980-07-01,,0,,,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,K-12,9-12,N,0,39.52898,-121.56986,Karen,Stiles,kstiles@bcoe.org,,,,,,,2016-05-10
04100410430090,0691002,05704,Active,Butte,Butte County Office of Education,Learning Community Charter,2280 6th Street,2280 6th St.,Oroville,95965-3261,CA,2280 6th Street,2280 6th St.,Oroville,95965-3261,CA,(530) 532-5916,,www.bcoe.org,1996-07-01,,1,0110,Locally funded,00,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,P,0,39.525713,-121.5783,Nick,Catomerisios,ncatomerisios@bcoe.org,Spencer,Ansorge,sansorge@bcoe.org,Barbara,Mandelbaum,bmandelbaum@bcoe.org,2016-08-22
04100416069256,0691002,09214,Active,Butte,Butte County Office of Education,Butte County Special Education,1859 Bird Street,1859 Bird St.,Oroville,95965-4854,CA,1859 Bird Street,1859 Bird St.,Oroville,95965-4854,CA,(530) 532-5792,,www.bcoe.org,1980-07-01,,0,,,00,County Office of Education (COE),09,Special Education Schools (Public),SPEC,Special Education School,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,0,39.512653,-121.55663,Stacy,Doughman,sdoughma@bcoe.org,Maryanne,Taylor,mtaylor@bcoe.org,,,,2016-08-22
04614240110551,0608370,11569,Active,Butte,Chico Unified,Nord Country,5554 California Street,5554 California St.,Chico,95973-9795,CA,5554 California Street,5554 California St.,Chico,95973-9795,CA,(530) 891-3138,,www.nordcountryschool.org,2005-08-16,,1,0729,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-7,N,0,39.780779,-121.95564,Kathy,Dahlgren,kdahlgren@nordcountryschool.org,,,,,,,2016-08-02
04614240118042,0608370,12233,Active,Butte,Chico Unified,Forest Ranch Charter,15815 Cedar Creek Road,15815 Cedar Creek Rd.,Forest Ranch,95942,CA,PO Box 5,PO Box 5,Forest Ranch,95942-0005,CA,(530) 891-3154,,www.forestranchcharter.org,2008-07-01,,1,1019,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.884629,-121.66604,Christia,Marasco,admin@forestranchcharter.org,,,,,,,2015-07-15
04614240120394,0608370,12539,Active,Butte,Chico Unified,Inspire School of Arts and Sciences,335 West Sacramento Avenue,335 West Sacramento Ave.,Chico,95926-3908,CA,335 West Sacramento Avenue,335 West Sacramento Ave.,Chico,95926-3908,CA,(530) 891-3090,,www.inspirecusd.org,2010-08-11,,1,1114,Locally funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,0,39.735165,-121.84863,Jerry,Crosby,jcrosby@chicousd.org,,,,,,,2015-09-19
04614240121475,0608370,12750,Active,Butte,Chico Unified,Sherwood Montessori,1071 E. 16th Street,1071 E. 16th St.,Chico,95928-6207,CA,1071 E. 16th Street,1071 E. 16th St.,Chico,95928-6207,CA,(530) 345-6600,,www.sherwoodmontessori.org,2010-08-25,,1,1166,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.726118,-121.81561,Michelle,Yezbick,michelle@sherwoodmontessori.org,,,,,,,2016-08-24
04614240123810,0608370,12755,Active,Butte,Chico Unified,Wildflower Open Classroom,"2414 Cohasset Road, Suite 3","2414 Cohasset Rd., Ste. 3",Chico,95926-1318,CA,"2414 Cohasset Road, Suite 3","2414 Cohasset Rd., Ste. 3",Chico,95926-1318,CA,(530) 892-1676,,www.wildflowerschool.com,2011-08-17,,1,1280,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.758527,-121.84361,Tom,Hicks,thicks@wildflowerschool.com,,,,,,,2015-06-18
04614240123976,0608370,12830,Active,Butte,Chico Unified,Center for Alternative Learning,290 East Avenue,290 East Ave.,Chico,95926-1122,CA,290 East Avenue,290 East Ave.,Chico,95926-1122,CA,(530) 891-3092,,www.chicousd.org,2010-08-02,,0,,,54,Unified School District,13,Opportunity Schools,OPP,Opportunity School,HS,High School,6-12,7-12,N,0,39.758466,-121.85846,Andrew,Moll,amoll@chicousd.org,,,,,,,2016-07-19
04614240430215,0608370,10469,Active,Butte,Chico Unified,Loma Vista,2404 Marigold Avenue,2404 Marigold Ave.,Chico,95926-1615,CA,2404 Marigold Avenue,2404 Marigold Ave.,Chico,95926-1615,CA,(530) 879-7400,,www.chicousd.org,2002-07-01,,0,,,54,Unified School District,09,Special Education Schools (Public),SPEC,Special Education School,ELEMHIGH,Elementary-High Combination,P-12,K-12,N,0,39.75962,-121.81517,Jeaner,Kassel,jkassel@chicousd.org,,,,,,,2015-06-18
04614246113773,0608370,05708,Active,Butte,Chico Unified,Chico Country Day,102 West 11th Street,102 West 11th St.,Chico,95928-6006,CA,102 West 11th Street,102 West 11th St.,Chico,95928-6006,CA,(530) 895-2650,,www.chicocountryday.org,1996-09-03,,1,0112,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.724,-121.83277,Colly,Fischer,cfischer@chicocountryday.org,Wendy,Fairon,wfairon@chicocountryday.org,,,,2016-08-18
04614246119523,0608370,08682,Active,Butte,Chico Unified,Blue Oak Charter,450 West East Avenue,450 West East Ave.,Chico,95926-7238,CA,450 West East Avenue,450 West East Ave.,Chico,95926-7238,CA,(530) 879-7483,,www.blueoakcharterschool.org,2001-09-04,,1,0415,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.753393,-121.86867,Stephanie,Nichols,stephanienichols@blueoakcharterschool.org,,,,,,,2016-07-20
04614320433201,0611730,01296,Active,Butte,Durham Unified,Durham High,9455 Putney Drive,9455 Putney Dr.,Durham,95938-9426,CA,PO Box 600,PO Box 600,Durham,95938-0600,CA,(530) 895-4685,221,www.durhamunified.org,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,39.646267,-121.80314,Terry,Bennett,tbennett@durhamunified.org,,,,,,,2015-06-18
04614326003115,0611730,01295,Active,Butte,Durham Unified,Durham Elementary,9421 Putney Drive,9421 Putney Dr.,Durham,95938-9426,CA,PO Box 700,PO Box 700,Durham,95938-0700,CA,(530) 895-4695,,www.durhamunified.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,39.646016,-121.80305,Shirley,Williams,swilliams@durhamunified.org,,,,,,,2015-08-21
04614326105761,0611730,08824,Active,Butte,Durham Unified,Durham Intermediate,9416 Putney Drive,9416 Putney Dr.,Durham,95938-9426,CA,PO Box 310,PO Box 310,Durham,95938-0310,CA,(530) 895-4690,,www.durhamunified.org,1980-07-01,,0,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,0,39.64663,-121.80319,Jeff,Kuhn,jkuhn@durhamunified.org,,,,,,,2015-08-21
04614400121509,0613710,12613,Active,Butte,Feather Falls Union Elementary,Ipakanni Early College Charter,1459 Downer Street,1459 Downer St.,Oroville,95966-8887,CA,PO Box 6119,PO Box 6119,Oroville,95966-1119,CA,(530) 532-1165,,www.ipakanni.com,2010-08-18,,1,1170,Directly funded,52,Elementary School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,6-12,N,0,39.51306,-121.55368,Walter,Gramps,grampswg@hotmail.com,Susan,Gaston,sgaston@puesd.org,,,,2015-06-18
04614570125252,0615480,13032,Active,Butte,Golden Feather Union Elementary,Pivot Charter School North Valley,"2550 Lakewest Drive, Suite 30","2550 Lakewest Dr., Ste. 30",Chico,95928-8419,CA,"2550 Lakewest Drive, Suite 30","2550 Lakewest Dr., Ste. 30",Chico,95928-8419,CA,(530) 636-4479,,www.pivotnorthvalley.com,2011-09-07,,1,1364,Directly funded,52,Elementary School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,6-12,P,0,39.747411,-121.79228,Jayne,Gaskell,jgaskell@pivotcharter.org,,,,,,,2016-07-20
04614576003131,0615480,01964,Active,Butte,Golden Feather Union Elementary,Concow Elementary,11679 Nelson Bar Road,11679 Nelson Bar Rd.,Oroville,95965-8033,CA,11679 Nelson Bar Road,11679 Nelson Bar Rd.,Oroville,95965-8033,CA,(530) 533-6033,,http://gfusd.org,1940-07-01,,0,,,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.730537,-121.52823,Joshua,Peete,jpeete@gfusd.org,,,,,,,2016-07-19
04614996003198,0623700,03592,Active,Butte,Manzanita Elementary,Manzanita Elementary,627 East Evans-Reimer Road,627 East Evans-Reimer Rd.,Gridley,95948-9736,CA,627 East Evans-Reimer Road,627 East Evans-Reimer Rd.,Gridley,95948-9736,CA,(530) 846-5594,,www.manzanitaelementaryschool.com,1980-07-01,,0,,,52,Elementary School District,61,Elemen Schools In 1 School Dist. (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.334408,-121.65863,Michelle,Sanchez,msanchez@mesd.net,,,,,,,2015-06-18
04615070129577,0629100,13790,Active,Butte,Oroville City Elementary,STREAM Charter,455E Oro Dam Blvd East,455E Oro Dam Blvd East,Oroville,95965-5743,CA,PO Box 2706,PO Box 2706,Oroville,95965,CA,(530) 534-1633,,http://streamcharterschool.org,2014-08-12,,1,1616,Directly funded,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,P,0,39.497525,-121.57073,Donald,Phillips,dphillips@streamcharter.net,,,,,,,2016-05-04
04615150430140,0629130,07947,Active,Butte,Oroville Union High,Oroville High Community Day,2120 Second Street,2120 Second St.,Oroville,95965-3415,CA,2120 Second Street,2120 Second St.,Oroville,95965-3415,CA,(530) 538-2330,,http://cds.ouhsd.org,1999-04-12,,0,,,56,High School District,69,District Community Day Schools,COMMDAY,Community Day School,HS,High School,9-12,9-12,N,0,39.522412,-121.56952,Dennis,Spasbo,dspasbo@ouhsd.org,,,,,,,2015-12-18
